,ID,Listing Name,Display Name,Sector,Brief Description,Address,Website,Phone,Social Media 1,Social Media 1 Type,Social Media 2,Social Media 2 Type,Social Media 3,Social Media 3 Type,Status,lon,lat
242,ca32c7,Garden of the Humanitarians,Garden of the Humanitarians,Gardens,GreenThumb garden,"270-272 East 4th Street, Manhattan, NY, 10009",https://www.facebook.com/GARDENOFTHEHUMANITARIANS/,,,,,,,,,-73.981466,40.722578
243,a1cb24,Gatehouse Garden,Gatehouse Garden,Gardens,GreenThumb garden,"1195 Amsterdam Ave, Manhattan, NY",,,,,,,,,,-73.959608,40.808498
244,f71af3,Green Oasis Community Garden / Gilbert's Garden,Green Oasis Community Garden / Gilbert's Garden,Gardens,GreenThumb garden,"372 East 8th Street, Manhattan, NY, 10009",http://greenoasisnyc.org/,,,,,,,,,-73.977378,40.724047
245,1991fa,Harlem Rose Garden,Harlem Rose Garden,Gardens,"GreenThumb garden - What was once a community garden many years ago had become overgrown and a veritable eyesore on the block. When Carolyn Schaefer moved to E 129th Street, she grew tired of looking out onto an empty, derelict lot. She seized the opportunity to reclaim it for everyone to enjoy and preserve it for the community. She started holding meetings with neighbors in 2002 and they worked tirelessly with the NYC Parks Dept, GreenThumb & Green Gorillas so that it would not fall in the hands of developers. Phil Gaetano made her vision come true by donating his expertise as a landscaper, his labor and materials. All the plants, trees, and flowers you see in the garden have been planted since 2003, except for 4 trees along the west fence. Carolyn passed away in July of 2015, but she left us a gift that we now are entrusted to carry forward for her. A memorial was held in the garden the following summer at which time the garden was renamed in her memory.","8 East 129th Street, Manhattan, NY",https://www.harlemrosegarden.nyc/,,,,,,,,,-73.939948,40.808556
246,41bb46,Harlem Valley Garden,Harlem Valley Garden,Gardens,GreenThumb garden,"197 West 134th Street, Manhattan, NY",,,,,,,,,,-73.94358,40.814598
247,0ef0d9,Harlem Village Green Community Garden,Harlem Village Green Community Garden,Gardens,GreenThumb garden,"54 W 129th Street, Manhattan, NY",,,,,,,,,,-73.946144,40.811289
248,a3ae26,Herb Garden,Herb Garden,Gardens,NY Restoration Project garden,"176 E 111th Street, Manhattan, NY",,,,,,,,,,-73.943123,40.794969
249,387f46,The Home Depot Children's Garden,The Home Depot Children's Garden,Gardens,NY Restoration Project garden,"421 East 117th Street, Manhattan, NY",,,,,,,,,,-73.933859,40.796482
250,2df0a1,Hope Garden,Hope Garden,Gardens,GreenThumb garden,"193 East 2nd Street, Manhattan, NY, 10009",,,,,,,,,,-73.984174,40.722122
251,28172b,Hope the Friendly Garden on the Hill,Hope the Friendly Garden on the Hill,Gardens,GreenThumb garden,"475 W 152nd St., Manhattan, NY",https://www.facebook.com/Hope-the-Friendly-Garden-on-the-Hill-915002278610088/,,,,,,,,,-73.943544,40.82958
252,a53f62,Humacao Community Garden,Humacao Community Garden,Gardens,GreenThumb garden,"335 E 108th Street, Manhattan, NY",,,,,,,,,,-73.939449,40.791268
253,4f7216,Jackie Robinson Community Garden,Jackie Robinson Community Garden,Gardens,GreenThumb garden,"103 East 122nd Street, Manhattan, NY",,,,,,,,,,-73.939886,40.803088
254,2bb097,Jane Street Garden,Jane Street Garden,Gardens,GreenThumb garden,"36-40 Jane Street, Manhattan, NY, 10014","Instagram: https://www.instagram.com/janestgarden/?hl=en
",,,,,,,,,-74.007082,40.738071
255,512ab7,Jenny's Garden,Jenny's Garden,Gardens,GreenThumb garden,"699 W 138th Street, Manhattan, NY",,,,,,,,,,-73.956174,40.823206
256,cc0943,Joseph Daniel Wilson Memorial Garden,Joseph Daniel Wilson Memorial Garden,Gardens,GreenThumb garden,"219 W. 122nd Street, Manhattan, NY",https://www.facebook.com/josephdanielwilsonmemorialgarden,,,,,,,,,-73.950631,40.807625
257,6d7fac,Kenkeleba House Garden,Kenkeleba House Garden,Gardens,GreenThumb garden,"212 E. 3rd Street, Manhattan, NY, 10009",,,,,,,,,,-73.982682,40.722354
258,edfb09,La Casita,La Casita,Gardens,NY Restoration Project garden,"223 E. 119th Street, Manhattan, NY",,,,,,,,,,-73.937521,40.799647
259,690b72,La Casita Garden,La Casita Garden,Gardens,GreenThumb garden,"339-41 East 8th Street, Manhattan, NY, 10009",,,,,,,,,,-73.978741,40.725025
260,9a38ab,La Cuevita Community Garden,La Cuevita Community Garden,Gardens,GreenThumb garden,"71 East 115th Street, Manhattan, NY",,,,,,,,,,-73.944317,40.799111
261,a2bfdb,La Plaza Cultural de Armando Perez Community Garden,La Plaza Cultural de Armando Perez Community Garden,Gardens,"GreenThumb garden - La Plaza Cultural de Armando Perez Community Garden was founded in 1976 by local residents and greening activists who took over what was then a series of vacant city lots piled high with rubble and trash. In an effort to improve the neighborhood during a downward trend of arson, drugs, and abandonment common in that era, members of the Latino group CHARAS cleared out truckloads of refuse. Working with Buckminster Fuller, they built a geodesic dome in the open “plaza” and began staging cultural events. Green Guerillas pioneer Liz Christy seeded the turf with “seed bombs” and planted towering weeping willows and linden trees. Artist Gordon Matta-Clark helped construct La Plaza’s amphitheater using railroad ties and materials reclaimed from abandoned buildings.

Later, block residents tilled the western portion of the space and planted vegetables, flowers, and fruit trees. During the 1980s, the garden came under attack by developers seeking to build on the space. After numerous court battles, La Plaza was finally preserved in 2002 as part of the terms of a legal settlement.

In 2003, La Plaza was renamed in memory of Armando Perez, a CHARAS founder and former District Leader of the Lower East Side who was killed in 1999.","674 East 9th Street, Manhattan, NY, 10009","https://laplazacultural.com/
Instagram: https://www.instagram.com/laplazacultural/?hl=en",,,,,,,,,-73.978455,40.725306
262,226b5b,LaGuardia Corner Gardens,LaGuardia Corner Gardens,Gardens,"GreenThumb garden.
Overview: LaGuardia Corner Gardens is an award-winning community garden in the heart of NYC’s Greenwich Village. It is a place of natural beauty, where the visitor can find an oasis of calm in urban surroundings. During the growing season visitors can enjoy a dazzling display of daffodils, tulips, irises, peonies, roses, and other perennials, as well as shrubs and fruit trees.

The garden was created in 1981 by volunteers on a strip of barren land. It is maintained and supported by volunteer members. LCG is registered with NYC’s GreenThumb and is a designated Backyard Wildlife Habitat and Monarch Way Station. The garden has trees, shrubs, and perennials that attract birds, butterflies, and bees. In the spring, members conduct programs for local school-children. Garden events include seasonal celebrations, events for children, and a variety of musical offerings.","511 LaGuardia Place, Manhattan, NY",http://www.laguardiacornergarden.org/wp/,,,,,,,,,-73.999118,40.727698
263,7e73d5,Le Petit Versailles Garden,Le Petit Versailles Garden,Gardens,"GreenThumb garden - This 20‘ by 60′ garden with entrances on both Houston Street and Second Street was created by Peter Cramer and Jack Waters on the site of a former ""chop shop.” It is appropriate that a stage dominates the garden because the gardeners are committed to providing a space for performers, filmmakers, and visual artists to show their work. A narrow brick path slopes down from the Houston Street entrance and splits to circle the low wooden platform that serves as a stage. Narrow beds filled with shrubs, perennials. vines, and annuals border the walls of the adjacent buildings. The path continues under a vine-draped arch, through an arbor covered seating area, to the gate on Second Street. Le Petit Versailles is a project of Allied Productions, a not-for- profit arts organization, and has an active performance and exhibit schedule during the summer months.","247 E. 2nd Street, Manhattan, NY, 10009","Instagram: https://www.instagram.com/lpvgarden/?hl=en
Facebook: https://www.facebook.com/PetitVersaillesNYC/",,,,,,,,,-73.981813,40.7211
264,45f495,Life Spire Garden,Life Spire Garden,Gardens,GreenThumb garden,"2015 Lexington Avenue, Manhattan, NY",https://www.facebook.com/LifeSpireGarden,,,,,,,,,-73.938449,40.802579
265,51a13c,Liz Christy Garden,Liz Christy Garden,Gardens,"GreenThumb garden - The Liz Christy Garden was founded in 1973. It has a pond that is 2.5 feet deep, where fish and red-eared slider turtle communities live year round. The garden also has a a wildflower habitat, beautiful wooden furniture, a grape arbor, a grove of weeping birch trees, fruit trees, a dawn redwood, vegetable gardens, berries, herbs and hundreds of varieties of flowering perennials. It is divided into individual areas, designed and tended by the garden members; general maintenance is shared. The beauties of this natural place can be enjoyed in every season, including winter during the weekly open hours.
","110 E Houston Street, Manhattan, NY, 10003",,,,,,,,,,-73.991032,40.723742
266,834a4c,Los Amigos Garden,Los Amigos Garden,Gardens,GreenThumb garden,"221 East 3rd Street, Manhattan, NY, 10009",,,,,,,,,,-73.982062,40.722479
267,32e6e8,Los Amigos Community Garden,Los Amigos Community Garden,Gardens,NY Restoration Project garden,"326 Pleasant Avenue, Manhattan, NY, 10035",,,,,,,,,,-73.93201,40.796086
268,59c369,Lower East Side Ecology Center Garden,Lower East Side Ecology Center Garden,Gardens,GreenThumb garden,"213 E. 7th Street, Manhattan, NY, 10009",,,,,,,,,,-73.97972,40.724639
269,fcb525,Lucille McClarey Wicked Friendship Garden,Lucille McClarey Wicked Friendship Garden,Gardens,"NY Restoration Project garden - The Lucille McClarey Wicked Friendship Garden began over 30 years ago when block activist, Mrs. Lucille McClarey, got neighbors together to clear out an abandoned lot and rented it from the city for $1 a year. She loved and tended to the Garden until she passed in the late 1990s. In the late 90s and early 2000 the city began to talk of taking the land back. New York Restoration Project purchased the land with the intention to keep the garden intact and give it back to the community to enjoy.

In 2007, as part of their Green for Good campaign, the smash Broadway production of Wicked provided funding to renovate the Friendship Garden with a wildly imaginative and fantastical design provided by the show’s Associate Scenic Designer, Edward Pierce. Echoing themes of the Land of Oz – and as portrayed in the Broadway production – the Friendship Garden features unique Oz-inspired lampposts and fencing, a poppy-painted mural, a ""yellow brick"" path, an ""emerald"" granite patio, a spiral-twisted stone barbeque and two new street trees in front of the space. The revitalized garden is also lush with plant life – including a variety of roses, lilies, hostas and hydrangeas. Finally, a wishing well – located in the middle of the garden – symbolizes that a community working together, as one, can truly make any wish come true.","499 West 150th Street, Manhattan, NY","http://www.west150nyc.com/garden.html
Instagram: https://www.instagram.com/wicked_friendship_garden/
Facebook: https://www.facebook.com/groups/NYRPFriendshipGarden/",,,,,,,,,-73.94566,40.828783
270,02aff7,Luigi's Garden,Luigi's Garden,Gardens,GreenThumb garden,"227 West 115th Street, Manhattan, NY",https://www.facebook.com/LuigisGarden/?ref=page_internal,,,,,,,,,-73.954322,40.803346
271,ed38a7,Lydia's Magic Garden,Lydia's Magic Garden,Gardens,"GreenThumb garden - Lydia’s Magic Garden is a community garden established in 1991 by Lydia Roman. Tired of seeing her community with empty lots of garbage, Roman decided to make a difference by creating beautiful gardens. Since the Mid 80’s Lydia has created three lovely gardens that have enhanced the El Barrio community. Lydia’s gardens produced organic cabbage, tomatoes, fresh mint, peppers and eggplant, in the summer. Roses, lilies, sunflowers and many other plant life grew plentifully, adding color to the neighborhood. The casitas gave members of the community a place to relax and enjoy the lovely view. Kids from local schools visit Lydia’s garden to learn about planting flowers and vegetables.","1665 Park Avenue, Manhattan, NY","http://www.lydiasmagicgarden.com/
Instagram: https://www.instagram.com/lydiasmagicgarden/
Facebook: https://www.facebook.com/lydiasmagicgarden
",,,,,,,,,-73.942393,40.800069
272,81f90c,M'finda Kalunga Community Garden,M'finda Kalunga Community Garden,Gardens,"GreenThumb garden - The M’Finda Kalunga Community Garden began in 1982 as a group organizing to rid the Sara Roosevelt Park area of drugs and crime and to protect low-income housing and services in the neighborhood. This beautiful garden–almost a city block long–was born of that effort. Nearly thirty years later, some of the original organizers continue to garden at M’Finda Kalunga, along with many new friends, families and volunteers.

Garden members tend allocated plots and common areas, and periodically do garden-wide seasonal maintenance. There is a children’s area with a sandbox, a Bocce court and a patio area for events and gatherings. Tables and benches are dotted throughout the garden, where people can sit and picnic during open hours.","179 Chrystie Street, Manhattan, NY, 10002","https://www.mkgarden.org/
Instagram: https://www.instagram.com/mkgarden_/?hl=en",,,,,,,,,-73.992507,40.721509
273,97bfd8,Maggie's Community Garden,Maggie's Community Garden,Gardens,NY Restoration Project garden,"564 West 149th Street, Manhattan, NY",https://www.facebook.com/MaggiesCommunityGarden/,,,,,,,,,-73.948129,40.828566
274,f57290,Maggie's Magic Garden,Maggie's Magic Garden,Gardens,GreenThumb garden,"1574 Lexington Avenue, Manhattan, NY",https://www.instagram.com/maggiesmagicgarden/?hl=en,,,,,,,,,-73.949174,40.788727
275,305394,Miracle Garden,Miracle Garden,Gardens,GreenThumb garden,"194-196 East 3rd Street, Manhattan, NY, 10009",https://www.facebook.com/miraclegardennyc/,,,,,,,,,-73.983524,40.722633
276,b4d5e5,Mobilization For Change Community Garden,Mobilization For Change Community Garden,Gardens,GreenThumb garden,"955 Columbus Avenue, Manhattan, NY",https://www.facebook.com/MFCGarden/,,,,,,,,,-73.962164,40.799694
277,10919b,Morris Jumel Community Garden,Morris Jumel Community Garden,Gardens,GreenThumb garden,"455-457 W 162nd Street, Manhattan, NY","https://morrisjumelcommunitygarden.wordpress.com/
https://www.facebook.com/MorrisJumelGarden/",,,,,,,,,-73.939078,40.835752
278,b5ac7b,Neighbors of Vega Baja,Neighbors of Vega Baja,Gardens,GreenThumb garden,"320 E. 109th Street, Manhattan, NY",,,,,,,,,,-73.940192,40.791895
279,fa2ea8,Oasis Community Garden,Oasis Community Garden,Gardens,"GreenThumb garden - For over 30 years, Oasis has provided garden opportunities for Hell's Kitchen residents and a haven of green tranquility to visitors from all around the globe. Located on West 52nd between 10th and 11th Avenues, Oasis Community Garden invites you to come in and smell the roses—and wander our pathways fashioned from the bricks of tenements that once stood on the lot—and daydream on our lawn until the fireflies come out—and admire the butterflies as they flit among our native perennials. Oasis is the perfect escape from the asphalt and chaos of midtown Manhattan. Whether you're a frazzled New Yorker looking for a place to unwind on a sunny Saturday without getting on the LIRR or an exhausted tourist needing a break from pounding the pavement, you're welcome at Oasis.","505 West 52nd Street, Manhattan, NY","http://www.oasiscommunitygarden.com/
https://www.instagram.com/oasiscommunitygarden/?hl=en",,,,,,,,,-73.991228,40.766317
280,bea4a2,Orchard Alley Community Garden,Orchard Alley Community Garden,Gardens,GreenThumb garden,"350-54 East 4th Street, Manhattan, NY, 10009",https://www.facebook.com/orchardalleycommunitygarden/,,,,,,,,,-73.978485,40.721327
281,f0bef2,Our Little Green Acre (Garden Eight),Our Little Green Acre (Garden Eight),Gardens,GreenThumb garden,"277 West 122nd Street, Manhattan, NY",,,,,,,,,,-73.952032,40.808229
282,51e59c,Pa'lante Community Garden (110th Street Block Association),Pa'lante Community Garden (110th Street Block Association),Gardens,GreenThumb garden,"1651 Madison Avenue, Manhattan, NY",,,,,,,,,,-73.947325,40.796204
283,e2d379,Peaceful Valley Community Garden,Peaceful Valley Community Garden,Gardens,GreenThumb garden,"52 East 117th Street, Manhattan, NY",,,,,,,,,,-73.943566,40.800075
284,90ee8c,Peach Tree Garden,Peach Tree Garden,Gardens,GreenThumb garden,"236-238 East 2nd Street, Manhattan, NY",,,,,,,,,,-73.982039,40.721568
285,dabc86,Pleasant Village Community Garden,Pleasant Village Community Garden,Gardens,GreenThumb garden,"342-353 Pleasant Avenue, Manhattan, NY","https://www.pleasantvillagecommunitygarden.com/
Facebook: https://www.facebook.com/pleasantvillagecommunitygarden/
https://www.instagram.com/pleasantvillagegarden/?hl=en",,,,,,,,,-73.931665,40.796634
286,9b9b92,The RING Garden (Riverside-Inwood Neighborhood Garden),The RING Garden (Riverside-Inwood Neighborhood Garden),Gardens,GreenThumb garden,"236 Dyckman Street, Manhattan, NY","https://ringgarden.wordpress.com/
Facebook: https://www.facebook.com/RINGGarden/",,,,,,,,,-73.92781,40.866007
287,cf981d,Rev. Linnette C. Williamson Memorial Park,Rev. Linnette C. Williamson Memorial Park,Gardens,"Built in 1965 as the first vest-pocket park in N.Y.C. and the United States, the park was renovated in 1994 by The Park Association. The park was named in honor of the late Rev. Linnette C. Williamson, pastor of the Christ Community Church of Harlem.","65 West 128th Street, Manhattan, NY",http://www.williamsonparks.org/,,,,,,,,,-73.94294,40.809441
288,931194,Robert L. Clinkscales Playground and Community Garden,Robert L. Clinkscales Playground and Community Garden,Gardens,GreenThumb garden,"234 West 146th Street, Manhattan, NY",,,,,,,,,,-73.940076,40.823645
289,b3d42a,Rodale Pleasant Park Community Garden,Rodale Pleasant Park Community Garden,Gardens,NY Restoration Project garden,"437 East 114th St/448-450 East 115th St, Manhattan, NY",,,,,,,,,,-73.934375,40.79436
290,26e2ac,Sage's Garden,Sage's Garden,Gardens,GreenThumb garden,"281 East 4th Street, Manhattan, NY",https://www.facebook.com/SagesGardenLoisaida/,,,,,,,,,-73.980868,40.722811
291,a4ba83,Sam & Sadie Koenig Garden,Sam & Sadie Koenig Garden,Gardens,GreenThumb garden,"237 E. 7th Street, Manhattan, NY, 10009",,,,,,,,,,-73.978341,40.72406
292,c5c3be,Secret Garden,Secret Garden,Gardens,GreenThumb garden,"293 East 4th Street, Manhattan, NY, 10009",,,,,,,,,,-73.980389,40.722602
293,3ca79e,Siempre Verde Garden,Siempre Verde Garden,Gardens,GreenThumb garden,"181 Stanton Street, Manhattan, NY, 10002","https://svgarden.org/
Facebook: https://business.facebook.com/svgarden/?ref=page_internal&path=%2Fsvgarden%2F",,,,,,,,,-73.984036,40.719901
294,a8929a,St. Nicholas Miracle Garden,St. Nicholas Miracle Garden,Gardens,GreenThumb garden,"330 Saint Nicholas Avenue, Manhattan, NY","https://stnicholasmiraclegarden.org/
Facebook: https://www.facebook.com/StNicholasMiracleGarden/
Instagram: https://www.instagram.com/stnicksgarden/?hl=en",,,,,,,,,-73.951481,40.811697
295,fa39f0,Sugar Hill Park,Sugar Hill Park,Gardens,GreenThumb garden,"333 Edgecombe Avenue, Manhattan, NY",,,,,,,,,,-73.942343,40.826201
296,395ff6,The Julia Gabriel People's Garden,The Julia Gabriel People's Garden,Gardens,GreenThumb garden,"1039 Amsterdam Avenue, Manhattan, NY",https://www.juliasgarden.org/,,,,,,,,,-73.962392,40.803304
297,e83a7b,Toyota East Children's Learning Garden,Toyota East Children's Learning Garden,Gardens,NY Restoration Project garden,"603 East 11th Street, Manhattan, NY",,,,,,,,,,-73.978946,40.727604
298,ced83d,Unity Park,Unity Park,Gardens,"Built in 1996 by The Rev. Williamson Park Association. The name of the park was chosen in a community contest won by a Harlem resident, Patricia A. Brown-Walker. Unity Park was constructed on a previously neglected lot in response to a proposal from the New York City Department of Parks and Recreation’s GreenThumb program.","55 West 128th Street, Manhattan, NY",http://www.williamsonparks.org/unity-park,,,,,,,,,-73.942641,40.80934
299,e06278,Vamos A Sembrar,Vamos A Sembrar,Gardens,GreenThumb garden,"198 Avenue B, Manhattan, NY, 10009",https://vamosasembrar.org/about/,,,,,,,,,-73.979093,40.72828
300,2a25c3,Walter Miller III Memorial Garden (La Casa Frela),Walter Miller III Memorial Garden (La Casa Frela),Gardens,GreenThumb garden,"13 West 119th Street, Manhattan, NY",,,,,,,,,,-73.945529,40.802988
301,d19909,West 104th Street Garden,West 104th Street Garden,Gardens,GreenThumb garden,"8 West 104th Street, Manhattan, NY",https://west104garden.org/,,,,,,,,,-73.962111,40.796919
302,509d38,West 123rd Street Community Garden,West 123rd Street Community Garden,Gardens,GreenThumb garden,"116 W. 123rd Street, Manhattan, NY",,,,,,,,,,-73.947606,40.806685
303,f8a373,West 124th Street Community Garden,West 124th Street Community Garden,Gardens,GreenThumb garden,"75 West 124th Street, Manhattan, NY",,,,,,,,,,-73.945169,40.806866
304,edf0be,West 132nd Street Garden,West 132nd Street Garden,Gardens,GreenThumb garden,"108-114 W. 132nd Street, Manhattan, NY",,,,,,,,,,-73.94313,40.812353
305,956d4b,West 181st Beautification Project,West 181st Beautification Project,Gardens,GreenThumb garden,"814 West 181st Street, Manhattan, NY",https://www.facebook.com/west181stbeautificationproject/,,,,,,,,,-73.93914,40.85093
306,dbd6f3,87th Street Community Garden,87th Street Community Garden,Gardens,GreenThumb garden,"55-57 West 87th Street, Manhattan, NY",,,,,,,,,,-73.97095,40.787087
307,acf2c5,William A. Harris Garden,William A. Harris Garden,Gardens,GreenThumb garden,"869 St Nicholas Ave, Manhattan, NY",,,,,,,,,,-73.942133,40.829954
308,270ebf,William B. Washington Memorial Garden,William B. Washington Memorial Garden,Gardens,GreenThumb garden,"325 West 126th Street, Manhattan, NY",https://www.facebook.com/thewilliebmemorialgarden/,,,,,,,,,-73.951665,40.811463
309,f6bb86,Powell Street Block Association Garden,Powell Street Block Association Garden,Gardens,GreenThumb garden,"633 Powell St, Brooklyn, NY 11212",,,,,,,,,,-73.900884,40.658509
310,df87c9,100 Quincy Community Garden,100 Quincy Community Garden,Gardens,GreenThumb garden,"100 Quincy Street, Brooklyn, NY",https://www.instagram.com/100quincycommunity/,,,,,,,,,-73.957244,40.685986
311,99f9de,400 Montauk Avenue Garden,400 Montauk Avenue Garden,Gardens,GreenThumb garden,"956 New Lots Ave, Brooklyn, NY",,,,,,,,,,-73.876838,40.668701
312,4890b0,462 Halsey Community Farm,462 Halsey Community Farm,Gardens,"GreenThumb garden - 462 Halsey Community Farm was conceived by Bed-Stuy residents and opened in 2012 with the goal of a thriving agricultural and community center, providing residents with a chance to grow and share healthful food and foster connections with neighbors and land. The garden consists of a few private beds for old time residents and 750 square feet of communal growing space cultivated and cared for by members and volunteers. We also have compost bins for food scrap drop offs and process hundreds of pounds of food scraps each month.

During the growing season we offer an affordable CSA program that includes freshly harvested produce and local eggs sourced from Grow NYC. Over the years our space has been utilized by educators and organizers like NYC’s Green Guerillas youth internship program and the Free Black Woman’s Library, and our gates are open daily for the community to enjoy.","462-466 Halsey Street, Brooklyn, NY","https://www.instagram.com/462halsey/?hl=en
https://www.facebook.com/462Halsey/",,,,,,,,,-73.935661,40.683225
313,b696dd,61 Franklin Street Garden,61 Franklin Street Garden,Gardens,GreenThumb garden,"61 Franklin Street, Brooklyn, NY",https://61franklinstreetgarden.com/,,,,,,,,,-73.957405,40.727548
314,24abbf,64th Street Community Garden,64th Street Community Garden,Gardens,GreenThumb garden,"373 64th Street, Brooklyn, NY",https://www.facebook.com/64th-Street-Community-Garden-167546503305947/,,,,,,,,,-74.022092,40.63944
315,31362d,700 Decatur Street Block Association Garden,700 Decatur Street Block Association Garden,Gardens,GreenThumb garden,"721 Decatur Street, Brooklyn, NY",,,,,,,,,,-73.914375,40.683825
316,dd2dde,A Better Community Garden,A Better Community Garden,Gardens,GreenThumb garden,"3 Hunterfly Place, Brooklyn, NY",,,,,,,,,,-73.928103,40.678036
317,349d2d,Aberdeen Street Community Garden,Aberdeen Street Community Garden,Gardens,NY Restoration Project garden,"91 Aberdeen Street, Brooklyn, NY",https://www.instagram.com/aberdeengarden/?hl=en,,,,,,,,,-73.90504,40.683422
318,675245,Abib Newborn Learning Garden,Abib Newborn Learning Garden,Gardens,GreenThumb garden,"495 Osborn Street, Brooklyn, NY",,,,,,,,,,-73.905945,40.659555
319,cb28e7,All People's Church of the Apostolic Faith Community Garden,All People's Church of the Apostolic Faith Community Garden,Gardens,GreenThumb garden,"149 Tompkins Avenue, Brooklyn, NY",,,,,,,,,,-73.941619,40.694784
320,67d410,The Amazing Garden,The Amazing Garden,Gardens,GreenThumb garden,"261-265 Columbia Street, Brooklyn, NY",https://www.facebook.com/theamazinggarden/,,,,,,,,,-74.003662,40.682909
321,263d87,Amboy Street Garden,Amboy Street Garden,Gardens,GreenThumb garden,"208 Amboy Street, Brooklyn, NY","https://www.facebook.com/gogreenfolks2019/
https://www.instagram.com/amboycommunitygarden/?hl=en",,,,,,,,,-73.913829,40.665357
322,b2fca1,American Heart Garden,American Heart Garden,Gardens,GreenThumb garden,"122 Hart Street, Brooklyn, NY",,,,,,,,,,-73.946628,40.693235
323,ac5351,Artsy Bloom Community Garden,Artsy Bloom Community Garden,Gardens,GreenThumb garden,"716 Sutter Avenue, Brooklyn, NY",,,,,,,,,,-73.892147,40.669746
324,inf,Ashford Learning Garden,Ashford Learning Garden,Gardens,GreenThumb garden,"341 Ashford Street, Brooklyn, NY",,,,,,,,,,-73.884965,40.674049
325,689676,Ashford Street Abundant Garden,Ashford Street Abundant Garden,Gardens,GreenThumb garden,"330 Ashford Street, Brooklyn, NY",,,,,,,,,,-73.885298,40.674402
326,ddd1c1,BACDYS Garden (Bangladeshi American Development and Youth Services),BACDYS Garden (Bangladeshi American Development and Youth Services),Gardens,GreenThumb garden,"215 Forbell Street, Brooklyn, NY",https://www.bacdys.org/about,,,,,,,,,-73.863918,40.677806
327,b92ff4,Backyard Garden,Backyard Garden,Gardens,GreenThumb garden,"61-73 Hamilton Avenue, Brooklyn, NY",,,,,,,,,,-74.005621,40.68328
328,d9ab4f,Bed-Stuy Farm,Bed-Stuy Farm,Gardens,"In 2005, Brooklyn Rescue Mission Urban Harvest Center created partnerships with the New York City environmental and food justice organizations to break ground on an abandoned lot behind the Mission in order to grow fruits and vegetables for pantry recipients. The site, once a neighborhood garbage dump, was transformed into an urban oasis that has served several hundred people since its creation. The farm has become a community gathering space and a classroom to teach neighborhood youth about food growing and community service.","404 Decatur Street, Brooklyn, NY",http://brmuhc.org/about-us/,,,,,,,,,-73.926879,40.682011
329,inf,Bedford-Stuyvesant Community Garden,Bedford-Stuyvesant Community Garden,Gardens,NY Restoration Project garden,"95 Malcolm X Boulevard, Brooklyn, NY",,,,,,,,,,-73.930219,40.690467
330,1447fc,Berry Street Garden,Berry Street Garden,Gardens,GreenThumb garden,"303 Berry Street, Brooklyn, NY",https://www.facebook.com/BerryStreetGarden/,,,,,,,,,-73.963596,40.71329
331,80d011,Big Red Community Garden (William Byum),Big Red Community Garden (William Byum),Gardens,GreenThumb garden,"436 Van Siclen Avenue, Brooklyn, NY",,,,,,,,,,-73.889584,40.668731
332,df6a7d,Bridge Plaza Community Garden,Bridge Plaza Community Garden,Gardens,NY Restoration Project garden,"153 Concord Street, Brooklyn, NY",,,,,,,,,,-73.984794,40.697703
333,c0a851,Brooklyn Bear's Garden (Carlton Avenue),Brooklyn Bear's Garden (Carlton Avenue),Gardens,GreenThumb garden,"397-401 Carlton Avenue, Brooklyn, NY",https://brooklynbears.wordpress.com/carlton-avenue/,,,,,,,,,-73.971111,40.685716
334,261702,Brooklyn Bear's Garden (Pacific Street),Brooklyn Bear's Garden (Pacific Street),Gardens,BANG Land Trust Garden,"590 Pacific Street, Brooklyn, NY",https://brooklynbears.wordpress.com/rockwell/,,,,,,,,,-73.977502,40.683096
335,e76580,Brooklyn Bear's Garden (Rockwell Place),Brooklyn Bear's Garden (Rockwell Place),Gardens,GreenThumb garden,"65-73 Flatbush Avenue, Brooklyn, NY",https://brooklynbears.wordpress.com/pacific-street/,,,,,,,,,-73.979344,40.687142
336,ba55a2,Brooklyn's Finest Garden,Brooklyn's Finest Garden,Gardens,GreenThumb garden,"48 Lefferts Place, Brooklyn, NY",,,,,,,,,,-73.961892,40.681206
337,9c4891,Brownsville Community Farm / James McKeather Garden,Brownsville Community Farm / James McKeather Garden,Gardens,GreenThumb garden,"239 Herzl Street, Brooklyn, NY",,,,,,,,,,-73.913917,40.664157
338,c57a90,Brownsville Green Community Garden,Brownsville Green Community Garden,Gardens,GreenThumb garden,"1418 Eastern Parkway, Brooklyn, NY",,,,,,,,,,-73.921249,40.668698
339,746106,CAUSA Festival Garden,CAUSA Festival Garden,Gardens,GreenThumb garden,"790 Blake Avenue, Brooklyn, NY",,,,,,,,,,-73.88951,40.668449
340,28cd72,Canarsie Neighborhood Garden,Canarsie Neighborhood Garden,Gardens,GreenThumb garden,"9299 Schenck Street, Brooklyn, NY",,,,,,,,,,-73.888909,40.62991
341,60748,Cedar Tree Garden,Cedar Tree Garden,Gardens,GreenThumb garden,"305 Greene Avenue, Brooklyn, NY",,,,,,,,,,-73.959173,40.687729
342,faf712,Chestnut Street Garden,Chestnut Street Garden,Gardens,GreenThumb garden,"9 Chestnut Street, Brooklyn, NY",,,,,,,,,,-73.876224,40.68773
343,37dceb,Citizens for a Better Community Garden,Citizens for a Better Community Garden,Gardens,GreenThumb garden,"742 Monroe Street, Brooklyn, NY",,,,,,,,,,-73.926717,40.687969
